Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79
"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79
"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45
"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45
"London, United Kingdom - New York, United States Of America",JFK,LCY,40.6,-73.79,51.5,0.05
"London, United Kingdom - New York, United States Of America",LCY,JFK,51.5,0.05,40.64,-73.79
"London, United Kingdom - Newark, United States Of America",EWR,LHR,40.7,-74.18,51.47,-0.45
"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86
"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45
"Delhi, India - London, United Kingdom",DEL,LHR,28.7,77.26,51.47,-0.45
"New York, United States Of America - San Francisco, United States Of America",JFK,SFO,40.6,-73.79,37.61,-122.39
"London, United Kingdom - Newark, United States Of America",EWR,LHR,40.7,-74.18,51.47,-0.45
"Hong Kong, Hong Kong - London, United Kingdom",LHR,HKG,51.5,-0.45,22.32,113.94
"Los Angeles, United States Of America - New York, United States Of America",JFK,LAX,40.6,-73.79,34.05,-118.24
"Cape Town, South Africa - Johannesburg, South Africa",JNB,CPT,-26.1,28.23,-33.97,18.59
"New York, United States Of America - Sao Paulo, Brazil",JFK,GRU,40.6,-73.79,-23.42,-46.48
"London, United Kingdom - Milan, Italy",LHR,LIN,51.5,-0.45,45.47,9.18
"London, United Kingdom - Tokyo, Japan",LHR,NRT,51.5,-0.45,35.75,140.39
"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45
"London, United Kingdom - Moscow, Russia",DME,LHR,55.4,37.9,51.47,-0.45
"Newark, United States Of America - Singapore, Singapore",EWR,SIN,40.7,-74.18,1.34,103.98
"London, United Kingdom - Madras, India",LHR,MAA,51.5,-0.45,13.05,80.23
"Boston, United States Of America - London, United Kingdom",LHR,BOS,51.5,-0.45,42.21,-71
"London, United Kingdom - San Francisco, United States Of America",SFO,LHR,37.6,-122.39,51.47,-0.45
"London, United Kingdom - Sao Paulo, Brazil",LHR,GRU,51.5,-0.45,-23.42,-46.48
"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45
